headword,pos,supplement,topic_tag,entry,meaning,meaning_en,meaning_ja,ipa,word_id,example_sentence,translated_sentence,sentence_id
abandoned,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,abandoned,"見捨てられた([[deserted]]) / 身を持ちくずした,捨てばちの",,"見捨てられた([[deserted]]) / 身を持ちくずした,捨てばちの",/əˈbændənd/,64,The abandoned house at the end of the street has become a haunt for stray cats.,通りの最後にある見捨てられた家は、野良猫たちのたまり場になってしまった。,2995604
abnormally,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,abnormally,異常に,,異常に,/æbˈnɔːrməli/,9703349,The price of real estate has been rising abnormally in Japan.,不動産の価格が日本では異常なほどに高騰してきた。,10912
abolish,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,abolish,"〈他〉〈制度・習慣・規則など〉を廃止する,をやめる",,"〈他〉〈制度・習慣・規則など〉を廃止する,をやめる",/əˈbɑlɪʃ/,129,The government decided to abolish the old law.,政府は古い法律を廃止することを決定した。,2995621
aboriginal,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,aboriginal,"土着の,もとからある / 原住民",,"土着の,もとからある / 原住民",/ˌæbəˈrɪdʒənəl/,139,The aboriginal people have a rich cultural heritage.,土着の人々は豊かな文化遺産を持っています。,1634019
abruptly,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,abruptly,"突然に,不意に",,"突然に,不意に",/əˈbrʌptli/,168,The meeting ended abruptly when the fire alarm went off.,火災警報が鳴ったとき、会議は突然終了した。,2995637
absentee,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,absentee,"欠席者,不在者 / 不在地主",,"欠席者,不在者 / 不在地主",/æbˈsɛn.ti/,178,The teacher took attendance and noticed there was one absentee.,先生が出席を取り、一人の欠席者がいることに気づいた。,2995639
absurd,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,absurd,"道理に合わない / ばかばかしい,無茶苦茶な",,"道理に合わない / ばかばかしい,無茶苦茶な",/əbˈsɜːrd/,215,His explanation was so absurd that everyone laughed.,彼の説明はあまりに馬鹿げていて、誰もが笑ってしまった。,2995650
abuse,noun,"CoreInventory_1: News, lifestyles and current affairs

CoreInventory 2: 

Threshold: ",,abuse,"〈U〉〈C〉乱用, 悪用 / 〈U〉悪口",,"〈U〉〈C〉乱用, 悪用 / 〈U〉悪口",/əˈbjuːs/,221,The government has launched a campaign to combat drug abuse.,政府は薬物乱用を撲滅するキャンペーンを開始しました。,2995653
access,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,access,"アクセスする / 近づく,接続する / 利用可能にする",,"アクセスする / 近づく,接続する / 利用可能にする",/ˈæksɛs/,9702337,The cave is easy to access.,その洞穴は近づきやすい。,119267
accessibility,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,accessibility,"近づきやすいこと,手に入りやすいこと / 影響されやすいこと",,"近づきやすいこと,手に入りやすいこと / 影響されやすいこと",/ˌækˌsɛsəˈbɪləti/,268,The new building has been designed with accessibility in mind.,新しい建物はアクセシビリティを考慮して設計されました。,1641202
