headword,pos,supplement,topic_tag,entry,meaning,meaning_en,meaning_ja,ipa,word_id,example_sentence,translated_sentence,sentence_id
a,determiner,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,a,"【冠詞】《oneの弱い意味で》一つの / 《~ certain》ある / 《同種類のものを代表してany, eachの弱い意味で》…というものは / 《単位を表す語につけて》…につき",,"【冠詞】《oneの弱い意味で》一つの / 《~ certain》ある / 《同種類のものを代表してany, eachの弱い意味で》…というものは / 《単位を表す語につけて》…につき",/ə/,6,I need a pen to write a letter.,ペンが必要です/手紙を書くには,2995580
a.m./A.M./am/AM,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,a.m.,《時間を表す数字の後につける》『午前』(ラテン語ante meridiemの略),,《時間を表す数字の後につける》『午前』(ラテン語ante meridiemの略),/ˌeɪ ˈɛm/,24,I usually wake up at 6 a.m.,私は通常、午前6時に起きます。,2995589
about,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,about,"《時を表す名詞を伴って》だいたい…ころに(《話》[[around]])  / 周囲に(《米》[[around]])  / 《英》あちこちに,点々と(《米》[[around]])  / 《英》あたりに(《米》[[around]])  / 《しばしば数詞と共に用いて》およそ,約 / ぐるっと回って,反対の位置(方向)に(《米》[[around]]) / 順番に,交互に",,"《時を表す名詞を伴って》だいたい…ころに(《話》[[around]])  / 周囲に(《米》[[around]])  / 《英》あちこちに,点々と(《米》[[around]])  / 《英》あたりに(《米》[[around]])  / 《しばしば数詞と共に用いて》およそ,約 / ぐるっと回って,反対の位置(方向)に(《米》[[around]]) / 順番に,交互に",/əˈbaʊt/,3207942,I will arrive at the station at about 7 o'clock.,私は到着する予定です/その駅に/だいたい7時頃に,3008597
about,preposition,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,about,"…について,に関して  / 《英》…の回りに(を),の周囲を(で)(《米》[[around]])  / 《英》…のあちこちに(で,を),に点々と(《米》[[around]])  / 《英》…のあたりに(を),の近くに([[near]])(《米》[[around]])  / …の身の回りに,を手もとに  / …の身辺に,のどこかに  / …に従事して,にかかわって",,"…について,に関して  / 《英》…の回りに(を),の周囲を(で)(《米》[[around]])  / 《英》…のあちこちに(で,を),に点々と(《米》[[around]])  / 《英》…のあたりに(を),の近くに([[near]])(《米》[[around]])  / …の身の回りに,を手もとに  / …の身辺に,のどこかに  / …に従事して,にかかわって",/əˈbaʊt/,148,I am writing a report about the environmental issues.,私はレポートを書いています/環境問題についての,2995628
above,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,above,"上方に, 上方を / 真上に, 頭上に高く / 上流に / 天に,空に / (特に地位において)高位に / (本・ページの)前に,前文に",,"上方に, 上方を / 真上に, 頭上に高く / 上流に / 天に,空に / (特に地位において)高位に / (本・ページの)前に,前文に",/əˈbʌv/,3207945,She lives on the floor above.,彼女は上の階に住んでいる。,3008601
above,preposition,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,above,"《方向》《fly,goなどの移動を表す動詞と結びついて》…の上方へ,より高いところへ / 《場所・位置》…の上に,の上方に
さらに高いところに(の)
 の上流に(で), の北方に,のもっと先に, もっと遠くに / 《数・量・程度》…以上に,にまさって / 《be動詞と結びついて》…の力の及ばない,を越えて([[beyond]])",,"《方向》《fly,goなどの移動を表す動詞と結びついて》…の上方へ,より高いところへ / 《場所・位置》…の上に,の上方に
さらに高いところに(の)
 の上流に(で), の北方に,のもっと先に, もっと遠くに / 《数・量・程度》…以上に,にまさって / 《be動詞と結びついて》…の力の及ばない,を越えて([[beyond]])",/əˈbʌv/,150,The bird flew above the trees.,鳥は木々の上を飛んだ。,2995627
action,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,action,"〈U〉行動, 活動, 精力的な活動 / 〈C〉行為, 行い, 《複数形で》日常の行動, ふるまい / 〈U〉(機械などの) 働き, 機能 / (薬・化学薬品などの) 作用",,"〈U〉行動, 活動, 精力的な活動 / 〈C〉行為, 行い, 《複数形で》日常の行動, ふるまい / 〈U〉(機械などの) 働き, 機能 / (薬・化学薬品などの) 作用",/ˈæk.ʃən/,431,Your action has consequences.,あなたの行動には結果が伴います。,2995737
activity,noun,"CoreInventory_1: Leisure activities

CoreInventory 2: 

Threshold: Free time, entertainment",,activity,"〈U〉活動,働き;活力  / 《しばしば複数形で》(種々の)活動,行事;(学生の)学内(外)活動,クラブ活動  / 〈U〉(商況・市場などの)活発,活気",,"〈U〉活動,働き;活力  / 《しばしば複数形で》(種々の)活動,行事;(学生の)学内(外)活動,クラブ活動  / 〈U〉(商況・市場などの)活発,活気",/ækˈtɪvəti/,444,The activity at the park was lively and fun.,公園での活動は活気があり、楽しかった。,2995742
actor,noun,"CoreInventory_1: Work and jobs

CoreInventory 2: Film

Threshold: Personal identification",,actor,"(男の)俳優,男優  / 行為者",,"(男の)俳優,男優  / 行為者",/ˈæktər/,445,Tom Hanks is a renowned actor in Hollywood.,トム・ハンクスはハリウッドで有名な俳優です。,2995743
add,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,add,"【他】〈二つ以上のもの〉を合計する《up, together》 / 《…に》…を加える《to , and ...》 / 《 〜 that節》…とつけ加える / 【自】足し算をする,加える",,"【他】〈二つ以上のもの〉を合計する《up, together》 / 《…に》…を加える《to , and ...》 / 《 〜 that節》…とつけ加える / 【自】足し算をする,加える",/æd/,479,Please add up the total cost of these items.,これらのアイテムの合計費用を計算してください。,2995752
